title,year,citations,source_database,source,draft_relevance_score,identity_representation,transgender_workplace_experience,iam_and_architecture,hr_and_organizational_systems,inclusive_design_and_vsd,relational_and_legal_status,ai_bias_and_digital_risk
Queering the HRD Curriculum: Preparing Students for Success in the Diverse Workforce,2008,30,openalex,Advances in Developing Human Resources,5,True,True,True,True,True,False,False
The impact of demographic factors on the way lesbian and gay employees manage their sexual orientation at work,2015,14,openalex,Management Research Review,5,True,True,True,True,True,True,False
Sexual identity management of working lesbian women,2022,3,crossref,Organization Management Journal,5,True,True,True,True,True,False,True
LGBT IDENTITY AND HUMAN RESOURCE DEVELOPMENT: A SYSTEMATIC LITERATURE REVIEW,2013,0,openalex,,5,True,True,True,True,True,False,True
Gender identity inclusion in the workplace: broadening diversity management research and practice through the case of transgender employees in the UK,2016,181,crossref,The International Journal of Human Resource Management,4,True,True,False,True,True,False,False
"Lesbian, Gay, Bisexual, and Transgender Careers and Human Resource Development",2015,130,crossref,Human Resource Development Review,4,True,True,False,True,True,False,True
"Perceived lesbian, gay, bisexual, and transgender (LGBT) supportive practices and the life satisfaction of LGBT employees: The roles of disclosure, authenticity at work, and identity centrality",2021,97,openalex,Journal of Occupational and Organizational Psychology,4,True,True,False,True,True,True,False
Leveling Up,2019,81,openalex,Medical Care,4,True,True,False,True,True,False,False
Mapping Québécois Sexual Nationalism in Times of ‘Crisis of Reasonable Accommodations’,2012,73,openalex,Journal of Intercultural Studies,4,True,True,False,True,True,True,True
"Assessment of Perceptions of Professionalism Among Faculty, Trainees, Staff, and Students in a Large University-Based Health System",2020,58,openalex,JAMA Network Open,4,True,True,False,True,True,False,False
Experiences of Transgender and Gender Expansive Physicians,2022,53,openalex,JAMA Network Open,4,True,True,False,True,True,False,True
How Cultural Alignment and the Use of Incentives Can Promote a Culture of Health: Stakeholder Perspectives,2017,44,openalex,RAND Corporation eBooks,4,True,True,False,True,True,False,False
Gender Identities in Organized Sports—Athletes' Experiences and Organizational Strategies of Inclusion,2020,42,openalex,Frontiers in Sociology,4,True,True,False,True,True,False,True
A patient and family data domain collection framework for identifying disparities in pediatrics: results from the pediatric health equity collaborative,2018,39,openalex,BMC Pediatrics,4,True,True,False,True,True,True,False
Discrimination and Exclusion on Grounds of Sexual and Gender Identity: Are LGBT People’s Voices Heard at the Workplace?,2021,32,openalex,The Spanish Journal of Psychology,4,True,True,True,True,False,False,True
"An Exploration of the Experiences of Physical Therapists Who Identify as LGBTQIA+: Navigating Sexual Orientation and Gender Identity in Clinical, Academic, and Professional Roles",2021,32,openalex,Physical Therapy,4,True,True,False,True,True,False,True
LGBTQ Systems: A Framework and Future Research Agenda,2023,29,openalex,Journal of Management,4,True,True,False,True,True,False,True
Towards Making an Invisible Diversity Visible: A Study of Socially Structured Barriers for Purple Collar Employees in the Workplace,2021,26,openalex,Sustainability,4,True,True,False,True,True,False,False
“I Don’t Even Want to Come Out”: the Suppressed Voices of Our Future and Opening the Lid on Sexual and Gender Minority Youth Workplace Discrimination in Europe: a Qualitative Study,2021,25,openalex,Sexuality Research and Social Policy,4,True,True,False,True,True,False,True
Associations between workplace characteristics and ‘outness’ in LGBTI workers in Austria,2021,25,openalex,Occupational and Environmental Medicine,4,True,True,False,True,True,False,False
Cultural Complications,2020,25,openalex,Annals of Surgery,4,True,True,False,True,True,True,True
"Perceptions of workplace climate and diversity, equity, and inclusion within health services and policy research",2022,24,openalex,Health Services Research,4,True,True,False,True,True,False,True
Evaluations of LGBT job applicants: consequences of applying “out”,2020,24,openalex,Equality Diversity and Inclusion An International Journal,4,True,True,False,True,True,True,True
Nurse leaders’ recommendations for implementing LGBTQ+ inclusive practices in health systems: A qualitative descriptive study,2024,23,openalex,International Journal of Nursing Studies Advances,4,True,True,False,True,True,False,True
The gender binary in nursing,2017,22,openalex,Nursing Inquiry,4,True,True,False,True,True,True,True
Discrimination against and Associated Stigma Experienced by Transgender Women with Intersectional Identities in Thailand,2022,21,openalex,International Journal of Environmental Research and Public Health,4,True,True,False,True,True,False,True
"Doing and Negotiating Transgender on the Front Line: Customer Abuse, Transphobia and Stigma in the Food Retail Sector",2021,20,openalex,Work Employment and Society,4,True,True,False,True,True,False,True
“It’s Not Always Possible to Live Your Life Openly or Honestly in the Same Way” – Workplace Inclusion of Lesbian and Gay Humanitarian Aid Workers in Doctors Without Borders,2019,19,openalex,Frontiers in Psychology,4,True,False,True,True,True,False,False
Promoting Social Equity in Public Administration: A Much Needed Topic in the Twenty‐First Century,2012,16,openalex,Public Administration Review,4,True,True,False,True,True,True,True
